annee,indicateur,valeur,region
2010,Espérance de vie (années),60.7,Artibonite
2010,Espérance de vie (années),57.8,Artibonite
2010,Espérance de vie (années),59.1,Artibonite
2010,Espérance de vie (années),69.0,Artibonite
2010,Espérance de vie (années),68.5,Artibonite
2010,Espérance de vie (années),64.4,Artibonite
2010,Espérance de vie (années),60.0,Artibonite
2010,Espérance de vie (années),66.3,Artibonite
2010,Espérance de vie (années),65.3,Artibonite
2010,Espérance de vie (années),56.1,Artibonite
2010,Espérance de vie (années),63.2,Artibonite
2010,Espérance de vie (années),61.3,Artibonite
2010,Espérance de vie (années),64.0,Artibonite
2010,Espérance de vie (années),63.3,Artibonite
2010,Espérance de vie (années),62.2,Artibonite
2010,Espérance de vie (années),55.4,Artibonite
2010,Espérance de vie (années),56.0,Artibonite
2010,Espérance de vie (années),58.5,Centre
2010,Espérance de vie (années),56.2,Centre
2010,Espérance de vie (années),55.5,Centre
2010,Espérance de vie (années),55.4,Centre
2010,Espérance de vie (années),70.0,Centre
2010,Espérance de vie (années),63.3,Centre
2010,Espérance de vie (années),69.3,Centre
2010,Espérance de vie (années),68.2,Centre
2010,Espérance de vie (années),61.0,Centre
2010,Espérance de vie (années),60.4,Centre
2010,Espérance de vie (années),60.7,Centre
2010,Espérance de vie (années),64.0,Centre
2010,Espérance de vie (années),59.0,Centre
2010,Espérance de vie (années),66.2,Centre
2010,Espérance de vie (années),58.7,Centre
2010,Espérance de vie (années),57.3,Centre
2010,Espérance de vie (années),55.4,Centre
2010,Espérance de vie (années),61.9,Centre
2010,Espérance de vie (années),58.5,Centre
2010,Espérance de vie (années),64.5,Grand'Anse
2010,Espérance de vie (années),68.1,Grand'Anse
2010,Espérance de vie (années),64.4,Grand'Anse
2010,Espérance de vie (années),61.2,Grand'Anse
2010,Espérance de vie (années),68.7,Grand'Anse
2010,Espérance de vie (années),66.9,Grand'Anse
2010,Espérance de vie (années),69.4,Grand'Anse
2010,Espérance de vie (années),62.7,Grand'Anse
2010,Espérance de vie (années),62.6,Grand'Anse
2010,Espérance de vie (années),57.1,Grand'Anse
2010,Espérance de vie (années),57.8,Nippes
2010,Espérance de vie (années),68.6,Nippes
2010,Espérance de vie (années),61.3,Nippes
2010,Espérance de vie (années),59.9,Nippes
2010,Espérance de vie (années),60.2,Nippes
2010,Espérance de vie (années),62.4,Nippes
2010,Espérance de vie (années),58.2,Nippes
2010,Espérance de vie (années),69.0,Nippes
2010,Espérance de vie (années),56.1,Nippes
2010,Espérance de vie (années),62.9,Nippes
2010,Espérance de vie (années),57.2,Nord
2010,Espérance de vie (années),67.5,Nord
2010,Espérance de vie (années),60.7,Nord
2010,Espérance de vie (années),68.3,Nord
2010,Espérance de vie (années),59.6,Nord
2010,Espérance de vie (années),63.0,Nord
2010,Espérance de vie (années),61.7,Nord
2010,Espérance de vie (années),62.6,Nord
2010,Espérance de vie (années),58.3,Nord
2010,Espérance de vie (années),69.0,Nord
2010,Espérance de vie (années),65.2,Nord
2010,Espérance de vie (années),67.2,Nord
2010,Espérance de vie (années),62.4,Nord
2010,Espérance de vie (années),66.3,Nord
2010,Espérance de vie (années),55.9,Nord
2010,Espérance de vie (années),57.0,Nord
2010,Espérance de vie (années),58.4,Nord
2010,Espérance de vie (années),63.0,Nord
2010,Espérance de vie (années),64.6,Nord
2010,Espérance de vie (années),65.8,Nord
2010,Espérance de vie (années),61.3,Nord
2010,Espérance de vie (années),63.6,Nord
2010,Espérance de vie (années),68.5,Nord
2010,Espérance de vie (années),63.2,Nord-Est
2010,Espérance de vie (années),68.3,Nord-Est
2010,Espérance de vie (années),66.6,Nord-Est
2010,Espérance de vie (années),66.7,Nord-Est
2010,Espérance de vie (années),64.5,Nord-Est
2010,Espérance de vie (années),67.6,Nord-Est
2010,Espérance de vie (années),63.3,Nord-Est
2010,Espérance de vie (années),63.8,Nord-Est
2010,Espérance de vie (années),60.3,Nord-Est
2010,Espérance de vie (années),55.2,Nord-Est
2010,Espérance de vie (années),55.4,Nord-Est
2010,Espérance de vie (années),61.0,Nord-Est
2010,Espérance de vie (années),57.3,Nord-Est
2010,Espérance de vie (années),57.4,Nord-Est
2010,Espérance de vie (années),58.2,Nord-Est
2010,Espérance de vie (années),56.7,Nord-Est
2010,Espérance de vie (années),68.8,Nord-Ouest
2010,Espérance de vie (années),67.1,Nord-Ouest
2010,Espérance de vie (années),69.3,Nord-Ouest
2010,Espérance de vie (années),61.7,Nord-Ouest
2010,Espérance de vie (années),68.0,Nord-Ouest
2010,Espérance de vie (années),68.6,Nord-Ouest
2010,Espérance de vie (années),63.9,Nord-Ouest
2010,Espérance de vie (années),65.2,Nord-Ouest
2010,Espérance de vie (années),64.2,Nord-Ouest
2010,Espérance de vie (années),56.3,Nord-Ouest
2010,Espérance de vie (années),60.6,Nord-Ouest
2010,Espérance de vie (années),59.4,Nord-Ouest
2010,Espérance de vie (années),61.7,Nord-Ouest
2010,Espérance de vie (années),64.5,Nord-Ouest
2010,Espérance de vie (années),67.3,Nord-Ouest
2010,Espérance de vie (années),59.8,Nord-Ouest
2010,Espérance de vie (années),68.5,Nord-Ouest
2010,Espérance de vie (années),58.2,Nord-Ouest
2010,Espérance de vie (années),67.3,Nord-Ouest
2010,Espérance de vie (années),66.5,Ouest
2010,Espérance de vie (années),68.7,Ouest
2010,Espérance de vie (années),55.2,Ouest
2010,Espérance de vie (années),64.1,Ouest
2010,Espérance de vie (années),67.6,Ouest
2010,Espérance de vie (années),59.0,Ouest
2010,Espérance de vie (années),55.7,Ouest
2010,Espérance de vie (années),56.2,Ouest
2010,Espérance de vie (années),56.7,Ouest
2010,Espérance de vie (années),66.0,Ouest
2010,Espérance de vie (années),63.5,Ouest
2010,Espérance de vie (années),63.9,Ouest
2010,Espérance de vie (années),66.3,Ouest
2010,Espérance de vie (années),56.7,Ouest
2010,Espérance de vie (années),57.8,Ouest
2010,Espérance de vie (années),61.9,Ouest
2010,Espérance de vie (années),61.5,Ouest
2010,Espérance de vie (années),57.6,Ouest
2010,Espérance de vie (années),69.5,Ouest
2010,Espérance de vie (années),64.4,Ouest
2010,Espérance de vie (années),62.7,Ouest
2010,Espérance de vie (années),64.7,Ouest
2010,Espérance de vie (années),58.9,Ouest
2010,Espérance de vie (années),58.7,Port-au-Prince
2010,Espérance de vie (années),69.3,Port-au-Prince
2010,Espérance de vie (années),63.7,Port-au-Prince
2010,Espérance de vie (années),65.8,Port-au-Prince
2010,Espérance de vie (années),59.5,Port-au-Prince
2010,Espérance de vie (années),55.1,Port-au-Prince
2010,Espérance de vie (années),58.0,Port-au-Prince
2010,Espérance de vie (années),58.5,Port-au-Prince
2010,Espérance de vie (années),61.8,Port-au-Prince
2010,Espérance de vie (années),63.9,Port-au-Prince
2010,Espérance de vie (années),68.9,Port-au-Prince
2010,Espérance de vie (années),67.6,Port-au-Prince
2010,Espérance de vie (années),67.1,Port-au-Prince
2010,Espérance de vie (années),56.0,Port-au-Prince
